delta_hz,algorithm,algorithm_label,dominant_inferred_pitch_hz,lower_reference_hz,upper_reference_hz,upper_frame_fraction,iqr_inferred_f0_hz,mean_confidence,valid_frame_fraction,branch
1.5,rubber_band,Rubber Band,446.7190876918959,440.75,881.5,0.04878048780487805,1.2482414367519823,0.9143684262456216,0.9425287356321839,lower_branch
1.6,rubber_band,Rubber Band,446.70366920987055,440.8,881.6,0.04878048780487805,1.2063003315537344,0.9144985280109765,0.9425287356321839,lower_branch
1.7,rubber_band,Rubber Band,446.70612085626266,440.85,881.7,0.04878048780487805,1.083266453342162,0.9147464375950243,0.9425287356321839,lower_branch
1.8,rubber_band,Rubber Band,446.80196702592116,440.9,881.8,0.04878048780487805,1.218789338074771,0.915161728624302,0.9425287356321839,lower_branch
1.9,rubber_band,Rubber Band,446.8223795131378,440.95,881.9,0.04878048780487805,1.3246639268312492,0.9143868617882925,0.9425287356321839,lower_branch
2.0,rubber_band,Rubber Band,446.862975009059,441.0,882.0,0.04878048780487805,1.4912769463363702,0.9142213641619751,0.9425287356321839,lower_branch
2.1,rubber_band,Rubber Band,446.8393407058963,441.05,882.1,0.04878048780487805,1.4954423800422205,0.9145260689844059,0.9425287356321839,lower_branch
2.2,rubber_band,Rubber Band,446.9621088232652,441.1,882.2,0.04878048780487805,1.399854380348586,0.9143855636940339,0.9425287356321839,lower_branch
2.3,rubber_band,Rubber Band,446.91226076744545,441.15,882.3,0.04878048780487805,1.6777767700187383,0.9140652083345238,0.9425287356321839,lower_branch
2.4,rubber_band,Rubber Band,446.9210624221314,441.2,882.4,0.04878048780487805,1.2873354416409484,0.9144573192864783,0.9425287356321839,lower_branch
2.5,rubber_band,Rubber Band,446.9015281517343,441.25,882.5,0.04878048780487805,1.2229107150802179,0.9143138785943361,0.9425287356321839,lower_branch
2.6,rubber_band,Rubber Band,447.0327233613866,441.3,882.6,0.04878048780487805,1.5771813891744273,0.9142752526988878,0.9425287356321839,lower_branch
2.7,rubber_band,Rubber Band,447.11702531022183,441.35,882.7,0.04878048780487805,1.4304126791080876,0.9148823458198273,0.9425287356321839,lower_branch
2.8,rubber_band,Rubber Band,447.17770322709305,441.4,882.8,0.04878048780487805,1.8645567688209894,0.9133801460002574,0.9425287356321839,lower_branch
2.9,rubber_band,Rubber Band,447.2165119381764,441.45,882.9,0.04878048780487805,1.7249036366958421,0.9139186199215615,0.9425287356321839,lower_branch
3.0,rubber_band,Rubber Band,447.25434255933396,441.5,883.0,0.04878048780487805,1.5096069489042634,0.9144255555737633,0.9425287356321839,lower_branch
3.1,rubber_band,Rubber Band,447.1902554030369,441.55,883.1,0.04878048780487805,1.5182739866392012,0.914034951628216,0.9425287356321839,lower_branch
3.2,rubber_band,Rubber Band,447.29675933847966,441.6,883.2,0.04878048780487805,1.6710267698765051,0.9145931353926163,0.9425287356321839,lower_branch
3.3,rubber_band,Rubber Band,447.3330909233781,441.65,883.3,0.04878048780487805,1.8805637058408706,0.9130589765629473,0.9425287356321839,lower_branch
3.4,rubber_band,Rubber Band,447.1911761292607,441.7,883.4,0.04878048780487805,1.8661710454792342,0.9141121184946902,0.9425287356321839,lower_branch
3.5,rubber_band,Rubber Band,447.28403819197337,441.75,883.5,0.060240963855421686,1.775261080421842,0.9152778119541639,0.9540229885057471,lower_branch
3.6,rubber_band,Rubber Band,447.2979661776592,441.8,883.6,0.04878048780487805,1.897106445679583,0.9140398855310394,0.9425287356321839,lower_branch
3.7,rubber_band,Rubber Band,447.2251964359087,441.85,883.7,0.060240963855421686,2.066437953928016,0.9148870627689094,0.9540229885057471,lower_branch
3.8,rubber_band,Rubber Band,447.41709159044854,441.9,883.8,0.04878048780487805,1.8140332683311158,0.9126126972541688,0.9425287356321839,lower_branch
3.9,rubber_band,Rubber Band,447.6460667205414,441.95,883.9,0.046511627906976744,2.4280355202456008,0.9347344490103784,0.9885057471264368,lower_branch
4.0,rubber_band,Rubber Band,447.51818193655765,442.0,884.0,0.04878048780487805,1.8329471674914544,0.9139840636158616,0.9425287356321839,lower_branch
4.1,rubber_band,Rubber Band,447.7091633124925,442.05,884.1,0.04878048780487805,1.5722636645888883,0.9137759336764328,0.9425287356321839,lower_branch
4.2,rubber_band,Rubber Band,447.67647694410573,442.1,884.2,0.060240963855421686,1.7709974046073285,0.9144298084660301,0.9540229885057471,lower_branch
4.3,rubber_band,Rubber Band,447.76553189042556,442.15,884.3,0.04878048780487805,1.4357061113068994,0.9122295980086458,0.9425287356321839,lower_branch
4.4,rubber_band,Rubber Band,447.84220323561976,442.2,884.4,0.046511627906976744,1.8930573568172235,0.9344832199144963,0.9885057471264368,lower_branch
4.5,rubber_band,Rubber Band,448.0220951060383,442.25,884.5,0.060240963855421686,1.4045066187903785,0.9143026192778909,0.9540229885057471,lower_branch
4.6,rubber_band,Rubber Band,448.02936081273003,442.3,884.6,0.09302325581395349,1.7968539810214565,0.9199164003412527,0.9885057471264368,lower_branch
4.7,rubber_band,Rubber Band,448.1289475623264,442.35,884.7,0.09302325581395349,1.7555848798120905,0.9298488117792302,0.9885057471264368,lower_branch
4.8,rubber_band,Rubber Band,447.8590632159305,442.4,884.8,0.04878048780487805,1.6715584764731375,0.9123020607968817,0.9425287356321839,lower_branch
4.9,rubber_band,Rubber Band,448.3568466721747,442.45,884.9,0.04878048780487805,1.8395473726162663,0.9117131985154412,0.9425287356321839,lower_branch
5.0,rubber_band,Rubber Band,448.4133431973268,442.5,885.0,0.04878048780487805,1.9298678005904435,0.9131095415183246,0.9425287356321839,lower_branch
0.0,wsola,WSOLA,446.46602892387506,440.0,880.0,0.04878048780487805,0.07875724611642454,0.9150586265034273,0.9425287356321839,lower_branch
0.1,wsola,WSOLA,446.4828404842207,440.05,880.1,0.04878048780487805,0.0788194445022441,0.9150583761259544,0.9425287356321839,lower_branch
0.2,wsola,WSOLA,446.53303604884394,440.1,880.2,0.04878048780487805,0.10245344483320196,0.9150816680642274,0.9425287356321839,lower_branch
0.3,wsola,WSOLA,446.5748415192705,440.15,880.3,0.04878048780487805,0.24351433241753284,0.9146830374992382,0.9425287356321839,lower_branch
0.4,wsola,WSOLA,446.5585419686339,440.2,880.4,0.04878048780487805,0.370181836519464,0.9146368360404861,0.9425287356321839,lower_branch
0.5,wsola,WSOLA,446.50837470656404,440.25,880.5,0.04878048780487805,0.3315373940819768,0.9146453347781786,0.9425287356321839,lower_branch
0.6,wsola,WSOLA,446.55482821847204,440.3,880.6,0.04878048780487805,0.4124920699272252,0.9146630155673403,0.9425287356321839,lower_branch
0.7,wsola,WSOLA,446.6407685806146,440.35,880.7,0.04878048780487805,0.3579998892793128,0.9147802946008018,0.9425287356321839,lower_branch
0.8,wsola,WSOLA,446.6646710697079,440.4,880.8,0.04878048780487805,0.5382098920920839,0.9144566545041821,0.9425287356321839,lower_branch
0.9,wsola,WSOLA,446.6281770297774,440.45,880.9,0.04878048780487805,0.6363542710349179,0.9142632647970125,0.9425287356321839,lower_branch
1.0,wsola,WSOLA,446.596684391175,440.5,881.0,0.04878048780487805,0.7011042039563335,0.9141585884697214,0.9425287356321839,lower_branch
1.1,wsola,WSOLA,446.5533947379362,440.55,881.1,0.04878048780487805,0.6519384036254223,0.91429052587387,0.9425287356321839,lower_branch
1.2,wsola,WSOLA,446.66341765200707,440.6,881.2,0.04878048780487805,0.6383300536791694,0.9145283163464404,0.9425287356321839,lower_branch
1.3,wsola,WSOLA,446.7690217445747,440.65,881.3,0.04878048780487805,0.8270004475448332,0.9147001479616538,0.9425287356321839,lower_branch
1.4,wsola,WSOLA,446.8009270710645,440.7,881.4,0.04878048780487805,0.9303266038971856,0.914121805846247,0.9425287356321839,lower_branch
1.5,wsola,WSOLA,446.77744694728835,440.75,881.5,0.04878048780487805,0.9996981866025862,0.9139012436528976,0.9425287356321839,lower_branch
1.6,wsola,WSOLA,446.7362389210334,440.8,881.6,0.04878048780487805,1.0763541854633445,0.9139769529101072,0.9425287356321839,lower_branch
1.7,wsola,WSOLA,446.63918587813623,440.85,881.7,0.04878048780487805,0.9514777364371412,0.9142817849742821,0.9425287356321839,lower_branch
1.8,wsola,WSOLA,446.760733731444,440.9,881.8,0.04878048780487805,1.161872807769896,0.9146362751627821,0.9425287356321839,lower_branch
1.9,wsola,WSOLA,446.83675525818467,440.95,881.9,0.04878048780487805,1.137744823849573,0.9137613547380646,0.9425287356321839,lower_branch
2.0,wsola,WSOLA,446.8232751460224,441.0,882.0,0.04878048780487805,1.3435587015106307,0.9136683263924424,0.9425287356321839,lower_branch
2.1,wsola,WSOLA,446.77841346685244,441.05,882.1,0.04878048780487805,1.3838387592775803,0.9139749773521832,0.9425287356321839,lower_branch
2.2,wsola,WSOLA,446.82906415026537,441.1,882.2,0.04878048780487805,1.2849598098144952,0.9139200696767128,0.9425287356321839,lower_branch
2.3,wsola,WSOLA,446.87205516337946,441.15,882.3,0.04878048780487805,1.3894832501657675,0.9136447057004551,0.9425287356321839,lower_branch
2.4,wsola,WSOLA,446.95840475504116,441.2,882.4,0.04878048780487805,1.4471732123224115,0.9138508313886528,0.9425287356321839,lower_branch
2.5,wsola,WSOLA,446.97510150910887,441.25,882.5,0.04878048780487805,1.5738405171128989,0.9134910371834128,0.9425287356321839,lower_branch
2.6,wsola,WSOLA,446.9724858937864,441.3,882.6,0.04878048780487805,1.6112560844709378,0.9138413028284114,0.9425287356321839,lower_branch
2.7,wsola,WSOLA,447.1054444218629,441.35,882.7,0.04878048780487805,1.696664756406733,0.9144398291393069,0.9425287356321839,lower_branch
2.8,wsola,WSOLA,447.09454582090905,441.4,882.8,0.04878048780487805,1.6440963829436441,0.9127512764893551,0.9425287356321839,lower_branch
2.9,wsola,WSOLA,447.21691165782033,441.45,882.9,0.04878048780487805,1.8575507882470674,0.913547422777953,0.9425287356321839,lower_branch
3.0,wsola,WSOLA,447.30509989786424,441.5,883.0,0.04878048780487805,1.5528288775668102,0.9138433306871026,0.9425287356321839,lower_branch
3.1,wsola,WSOLA,447.15915224851585,441.55,883.1,0.04878048780487805,1.6548152131717302,0.9134490930711852,0.9425287356321839,lower_branch
3.2,wsola,WSOLA,447.2223550718393,441.6,883.2,0.04878048780487805,1.52369345324621,0.9136176977015606,0.9425287356321839,lower_branch
3.3,wsola,WSOLA,447.1537718996373,441.65,883.3,0.04878048780487805,1.7234222408706046,0.9122355012398258,0.9425287356321839,lower_branch
3.4,wsola,WSOLA,447.2457154025979,441.7,883.4,0.04878048780487805,1.698600689162447,0.9132347691254742,0.9425287356321839,lower_branch
3.5,wsola,WSOLA,447.21082159134454,441.75,883.5,0.060240963855421686,1.932377627775793,0.9147150719560898,0.9540229885057471,lower_branch
3.6,wsola,WSOLA,447.3884935553383,441.8,883.6,0.060240963855421686,2.0251258063702835,0.9142835846180593,0.9540229885057471,lower_branch
3.7,wsola,WSOLA,447.3451124479661,441.85,883.7,0.060240963855421686,2.200064075548255,0.9171745517864118,0.9540229885057471,lower_branch
3.8,wsola,WSOLA,447.3906645060414,441.9,883.8,0.04878048780487805,1.9392421140422584,0.9123465095273919,0.9425287356321839,lower_branch
3.9,wsola,WSOLA,447.5840565382982,441.95,883.9,0.060240963855421686,2.3569664709424956,0.9163100744032384,0.9540229885057471,lower_branch
4.0,wsola,WSOLA,447.51815795048503,442.0,884.0,0.04878048780487805,2.037968234098969,0.9133316201149659,0.9425287356321839,lower_branch
4.1,wsola,WSOLA,447.6799884260928,442.05,884.1,0.060240963855421686,1.755580423123206,0.9145037153153764,0.9540229885057471,lower_branch
4.2,wsola,WSOLA,447.68136627408387,442.1,884.2,0.060240963855421686,1.8102315678955279,0.9138246470542832,0.9540229885057471,lower_branch
4.3,wsola,WSOLA,447.7689165169473,442.15,884.3,0.04878048780487805,1.4020444083874395,0.9113271953528826,0.9425287356321839,lower_branch
