case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
two_oscillators_02hz,two_oscillators,440 + 442,2.0,Hz separation,"{""frequencies_hz"": ""440,442"", ""separation_hz"": 2.0}",12,0.040063801200591595,0.2957752867695873,0.05560689571856689,0.5161063885398063,0.46049949282123936
two_oscillators_05hz,two_oscillators,440 + 445,5.0,Hz separation,"{""frequencies_hz"": ""440,445"", ""separation_hz"": 5.0}",-12,0.017646364518729942,0.2264884640242112,0.06438356281965456,0.3800695029347383,0.3156859401150837
two_oscillators_05hz,two_oscillators,440 + 445,5.0,Hz separation,"{""frequencies_hz"": ""440,445"", ""separation_hz"": 5.0}",3,0.04033092436842328,0.323811778473286,0.021378455363257543,0.5669685393725153,0.5455900840092578
two_oscillators_05hz,two_oscillators,440 + 445,5.0,Hz separation,"{""frequencies_hz"": ""440,445"", ""separation_hz"": 5.0}",7,0.026907288769699014,0.24941379949172465,0.0728479691171552,0.4157763583418972,0.342928389224742
two_oscillators_05hz,two_oscillators,440 + 445,5.0,Hz separation,"{""frequencies_hz"": ""440,445"", ""separation_hz"": 5.0}",12,0.03751379725638686,0.30466473943041317,0.08058399676923622,0.5212145722902245,0.4406305755209883
two_oscillators_10hz,two_oscillators,440 + 450,10.0,Hz separation,"{""frequencies_hz"": ""440,450"", ""separation_hz"": 10.0}",-12,0.05679327007342877,0.3349789227303649,0.0688350019633397,0.6292741972367559,0.5604391952734162
two_oscillators_10hz,two_oscillators,440 + 450,10.0,Hz separation,"{""frequencies_hz"": ""440,450"", ""separation_hz"": 10.0}",3,0.03565396936524316,0.32071824926110915,0.02524153567193684,0.5284425961282174,0.5032010604562805
two_oscillators_10hz,two_oscillators,440 + 450,10.0,Hz separation,"{""frequencies_hz"": ""440,450"", ""separation_hz"": 10.0}",7,0.04911567910859286,0.30495800851103705,0.07906899467311895,0.5804443334016935,0.5013753387285746
two_oscillators_10hz,two_oscillators,440 + 450,10.0,Hz separation,"{""frequencies_hz"": ""440,450"", ""separation_hz"": 10.0}",12,0.03242033081208893,0.3078938994812795,0.10387013786522718,0.5103705953235748,0.40650045745834756
two_oscillators_20hz,two_oscillators,440 + 460,20.0,Hz separation,"{""frequencies_hz"": ""440,460"", ""separation_hz"": 20.0}",-12,0.061000972729540484,0.35060278234561687,0.07867003723946649,0.665452977849727,0.5867829406102605
two_oscillators_20hz,two_oscillators,440 + 460,20.0,Hz separation,"{""frequencies_hz"": ""440,460"", ""separation_hz"": 20.0}",3,0.03133342391213358,0.32914754877745966,0.03463434515818173,0.4677456903510213,0.43311134519283956
two_oscillators_20hz,two_oscillators,440 + 460,20.0,Hz separation,"{""frequencies_hz"": ""440,460"", ""separation_hz"": 20.0}",7,0.03158296146877096,0.3184787838487605,0.08721765682983557,0.5037590104298957,0.4165413536000601
