signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,14.046623199410009,1.1825175351384205,583.9282975561466,0.016842202435403478,0.4624842560994249,0.18154933675845875,0.22029193176442904
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,3,0.0799276111880864,0.2468291867603377,816.4214961463454,6.849162883361226e-05,0.013597505106362894,0.2542405686896431,0.08930218847494654
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.0970427103689311,0.2806621848958386,869.279968039105,8.904650684837667e-05,0.029828533990846406,0.27076727769955805,0.10022828606575095
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,wsola,WSOLA,local waveform-similarity overlap-add,7,14.15125718232531,1.15111944071928,1120.479068428656,0.016967865671841515,0.4474213469421054,0.34930708952221456,0.2712321007120538
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,7.053983965510808,1.039471440722069,1127.0980310519851,0.008444188206253105,0.3938593804385207,0.3513765717699268,0.2512267134715669
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,7,0.0755425595173833,0.2349344265171514,1215.0313451277086,6.322527301368107e-05,0.00789111762311527,0.3788697671266772,0.12894137000760206
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.0972462002596198,0.3153228697117526,1751.0577928747502,8.929089397322754e-05,0.046456636949678366,0.546463585228467,0.19766983769070623
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,wsola,WSOLA,local waveform-similarity overlap-add,12,22.547130884966997,1.271110323924,2054.97634401991,0.02705113530187184,0.5049857248719144,0.6414866397670339,0.39117449998027337
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,11.651294588848504,1.144408087935857,2061.050141852031,0.013965462611980681,0.4442016452637195,0.643385671005776,0.3671842596271588
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,psola,PSOLA,local pitch-synchronous overlap-add,12,0.0732705126248087,0.2226286186474241,1272.3051603842018,6.049659196852744e-05,0.0019875343172401105,0.3967769756542348,0.13294166885448114
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.1009967275888409,0.3127077600308007,817.5956548974077,9.379519926112567e-05,0.04520206528571802,0.2546076807024463,0.09996784706247515
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,wsola,WSOLA,local waveform-similarity overlap-add,-12,33.75207508606681,1.233605168936479,774.7775022050016,0.040508040154262036,0.4869930169398105,0.24122017394051828,0.2562404103448636
