signal_family,signal_name,signal_label,case_label,shift_semitones,dry_mix,algorithm,algorithm_label,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,dry_similarity,peak_preservation,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.3,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.016546121334472384,0.24704976655477823,1.5764736676347983,0.890632002529378,0.19497554783921955,0.6733935978793353,0.0,0.013703325968012783,0.0,0.004567775322670928,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.4,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.014182389715262042,0.22031393130891136,1.4205219885936207,0.7942474124267918,0.3099790410050455,0.5771945124680017,0.0,0.0008770871467149996,0.0,0.00029236238223833317,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.5,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.011818658096051702,0.18679011670914003,1.1551063491851892,0.6733916733350582,0.4249825341708712,0.5000000000026865,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.6,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.009454926476841362,0.15029855341152376,0.9820869315456433,0.5418369888339613,0.539986027336697,0.6000000000021491,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.7,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.007091194857631022,0.11284729683438086,0.7927298215527744,0.40682254171386456,0.6549895205025227,0.7000000000016119,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,0.85,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.003545597428815511,0.055536012221435095,0.5088613271597239,0.2002112791566048,0.8274947602512613,0.8500000000008059,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train +12,12,1.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0228977898628095,0.41069422256621096,1990.122461121574,1.0,0.0,0.6798544995607194,2.749969358403967e-06,0.09221005131553955,0.621393491976507,0.2378687644204683,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.1,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.020608010876528547,0.36609259689733004,851.0278242457358,0.8913994324288543,0.0,0.6118690496046475,5.833411002503399e-20,0.07081288539996826,0.26541765217815266,0.11207684585937365,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.2,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0183182318902476,0.3213575373795326,721.369431881834,0.7824739665718679,0.10875640919679352,0.5438835996485756,0.0,0.04935170598351661,0.2248984067928586,0.09141670425879174,0.40410895268938746,False
transient,impulse_train,transient / impulse_train,transient / impulse_train -12,-12,0.3,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.01602845290396665,0.27804089735530046,610.5771525416218,0.6770022125414134,0.22016185804719435,0.4758981496925036,0.0,0.02857099856301899,0.19027496690951834,0.07294865515751243,0.40410895268938746,False
