depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_danger_count,fixed_danger_any,worst_fixed_algorithm_label,worst_fixed_composite_stress,v1_composite_stress,v2_composite_stress,v2_catastrophic,fixed_danger_avoided
0.05,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,6.540102501470324,3.3279631877404214,1.980064655172411,0.4907558123008493,1.0637286693565244e-06,0.5240090363523335,1,True,WSOLA,0.5919049711293153,0.029283264986313576,0.30310834748977894,False,True
0.05,2.0,12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,6.540102501470324,3.3279631877404214,1.980064655172411,0.4907558123008493,1.0637286693565244e-06,0.5240090363523335,0,False,WSOLA,0.4182332148326317,0.048129244718525734,0.38828530140840095,False,False
0.1,2.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,13.081780581699755,6.657248448120752,1.980064655172411,0.49070954645682535,1.0640400370627376e-06,0.5240090363523335,1,True,WSOLA,0.5698542833216756,0.04603745080142721,0.06452815700109103,False,True
0.1,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,13.081780581699755,6.657248448120752,1.980064655172411,0.49070954645682535,1.0640400370627376e-06,0.5240090363523335,0,False,WSOLA,0.5018275492746237,0.001687146544091152,0.3008062540006224,False,False
0.1,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,13.081780581699755,6.657248448120752,1.980064655172411,0.49070954645682535,1.0640400370627376e-06,0.5240090363523335,1,True,WSOLA,0.593254946966835,0.03043149161929315,0.32674053503787265,False,True
0.1,2.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,13.081780581699755,6.657248448120752,1.980064655172411,0.49070954645682535,1.0640400370627376e-06,0.5240090363523335,0,False,WSOLA,0.4538763193158104,0.05369134510379081,0.09706045871413609,False,False
0.2,2.0,-12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,1,True,WSOLA,0.5716625497289836,0.045776081496959366,0.06415422785106745,False,True
0.2,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.31,medium,periodic_representation_bias|selective_micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,0,False,WSOLA,0.5035298826366378,0.0036569405081851775,0.30016298698304833,False,False
0.2,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.39,high,periodic_representation_bias|moderate_shift|selective_micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,1,True,WSOLA,0.5890161586605221,0.03366407241745817,0.3389202595429566,False,True
0.2,2.0,12,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.51,high,periodic_representation_bias|large_shift|selective_micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,0,False,WSOLA,0.4747199942333939,0.06613712400898404,0.10046331570973048,False,False
